Date,Site ID,Division,Site Name,Purchase Capacity (Mbps),Delay(msec),Jitter(ms),Packet Loss(),Avg(out) mb/sbit/s,Avg(in) mb/sbit/s,Peak Throughput (Mbps) ,Utilization
14-Nov-18,NKPBD01,Mymensingh,Jaria land 55m,390,6.0376,1.7501 ,0.002557,110.7490234,22.00976563,239.7158203,0.61465595
14-Nov-18,SRJNG02,Mymensingh,Jhinaigati land 55m,230,7,2 ,0.0004,34.68457031,6.388671875,73.86621094,0.321157439
14-Nov-18,SRSDR07,Mymensingh,Kamarer Char 32m Land,260,6,2 ,0.0004,62.50585938,15.48828125,139.0273438,0.534720553
14-Nov-18,TNSDR56,Mymensingh,Gharinda_Tangail Sadar,100,6,2 ,0.0004,21.46289063,3.595703125,49.87988281,0.498798828
15-Nov-18,JPDWG02,Mymensingh,Katharbill 25m Land,230,7,2 ,0,65.09179688,25.00488281,127.3193359,0.55356233
15-Nov-18,JPMLN03,Mymensingh,Hajrabari bazar,260,6,1 ,0,75.09765625,21.40136719,152.359375,0.585997596
15-Nov-18,JPSDR04,Mymensingh,Nandina 55m land,450,7,2 ,0.0004,76.00976563,16.06445313,146.4541016,0.325453559
15-Nov-18,JPSDR14,Mymensingh,Ghoradhap 32m Land,230,6,1 ,0.0004,70.08886719,14.8203125,156.3193359,0.679649287
15-Nov-18,JPSSB02,Mymensingh,Simla Bazar,250,7,2 ,0.0004,90.51953125,20.4453125,190.6494141,0.762597656
15-Nov-18,MYFLP04,Mymensingh,Bowla 25m land,220,6,2 ,0,63.74121094,12.328125,137.8037109,0.626380504
15-Nov-18,MYFLP05,Mymensingh,Chandhara Bazar 25m lan,260,6,1 ,0,75.09375,14.28808594,173.6835938,0.668013822
15-Nov-18,MYGFG03,Mymensingh,Kandipara bazar land,220,5,2 ,0.0004,81.30078125,19.54492188,161.6054688,0.734570313
15-Nov-18,MYISG02,Mymensingh,Ishwarganj 55m,350,6,2 ,0,124.0205078,29.375,274.4248047,0.784070871
15-Nov-18,MYNND02,Mymensingh,Musulli 55m,330,6.6416,1.7192 ,0.000121,120.3691406,21.76269531,211.5419922,0.64103634
