Date,Site ID,Division,Site Name,Purchase Capacity (Mbps),Delay(msec),Jitter(ms),Packet Loss(),Avg(out) mb/sbit/s,Avg(in) mb/sbit/s,Peak Throughput (Mbps) ,Utilization
20-Nov-18,KHDMR06,Khulna,Shahapur Land,275,8.8276,1.8786 ,0.000106,44.171875,9.107421875,114.0976563,0.414900568
20-Nov-18,KHPKG01,Khulna,Kapilmuni land 55m,175,10,2 ,0,141.71875,29.84765625,49.99121094,0.285664063
20-Nov-18,KHRPS01,Khulna,Rupsha,150,11.6183,8.2764 ,0.0004,106.1298828,23.20214844,202.9316406,1.352877604
20-Nov-18,MAMDP01,Khulna,Mohammadpur land 55m,185,6,1 ,0,50.39550781,9.684570313,97.01171875,0.524387669
20-Nov-18,MASDR07,Khulna,Dhonpara Bazar_32m  Land,600,6.3946,1.1283 ,0,98.92089844,20.06445313,207.0058594,0.345009766
20-Nov-18,NRSDR06,Khulna,Tularampur 32m,225,8,1 ,0.0004,23.20214844,5.16015625,52.25683594,0.232252604
20-Nov-18,NRSDR10,Khulna,Ramchandrapur 32m land,175,7,1 ,0.0004,27.90625,5.634765625,74.07714844,0.423297991
20-Nov-18,SKASN02,Khulna,Assasuni_land_75m,375,10,2 ,0,148.2949219,28.20507813,279.9804688,0.746614583
21-Nov-18,BGMRL06,Khulna,Kailkabari 32m land,250,9.5073,1.6758 ,0.000041,169.3955078,35.17089844,321.9677734,1.287871094
21-Nov-18,GGMKS01,Khulna,Banierchar backbone 75m,225,7.8653,1.9257 ,0.000052,60.52832031,60.4609375,116.4550781,0.517578125
21-Nov-18,GGMKS02,Khulna,Muksedpur land 55m,220,7,3 ,0,52.03222656,10.69238281,98.39550781,0.447252308
21-Nov-18,GGSDR02,Khulna,Gopalganj Bkb,450,8.802,1.7435 ,0,4.880859375,0.962890625,8.748046875,0.019440104
21-Nov-18,JHHRK01,Khulna,"Kulbaria land, Horinaku",175,8,2 ,0,40.45605469,8.787109375,99.38964844,0.567940848
21-Nov-18,JHKLG05,Khulna,Khorar Bazar 32m Land,400,8,1 ,0.0004,106.8212891,23.9921875,225.1787109,0.562946777
21-Nov-18,JSCGH03,Khulna,Porapara Bazar,260,10.2127,1.6200 ,0.000332,62.78613281,10.62402344,141.8886719,0.545725661
21-Nov-18,JSKSB05,Khulna,Sagordari 32m land,350,10.5662,1.6199 ,0,153.8652344,29.34082031,270.4609375,0.772745536
21-Nov-18,JSSDR10,Khulna,Bashundia bazar land 55,275,10,2 ,0,174.5625,35.77148438,336.3535156,1.223103693
21-Nov-18,JSSDRT1,Khulna,Jessore,250,10.1382,10.1590 ,0,111.0615234,22.37597656,218.5732422,0.874292969
21-Nov-18,KHDMR06,Khulna,Shahapur Land,275,8.7854,1.9234 ,0,50.09863281,9.564453125,118.8378906,0.432137784
21-Nov-18,KHPKG01,Khulna,Kapilmuni land 55m,175,11,2 ,0,140.1191406,27.5546875,51.85351563,0.296305804
