Date,Open,High,Low,Close
3/12/2016,3163.050031,3228.940694,3059.228988,3141.69117
4/1/2016,3012.885711,3185.701187,2900.925917,3167.856223
4/2/2016,3161.232779,3184.603971,2951.747227,3013.732756
4/3/2016,2891.707469,3170.229727,2868.535554,3157.238771
4/4/2016,2827.503486,2944.903352,2727.792661,2890.941728
4/5/2016,2725.669632,2840.430748,2540.684061,2827.328946
4/6/2016,2508.544834,2764.443596,2463.469419,2724.619893
4/7/2016,2609.412975,2630.314227,2449.353536,2502.349577
4/8/2016,2557.774755,2665.730922,2511.375178,2610.153422
4/9/2016,2530.462792,2695.429494,2520.931989,2561.852153
4/10/2016,2461.575719,2551.161084,2423.816057,2536.210035
4/11/2016,2382.545254,2469.704774,2322.337052,2466.961511
4/12/2016,2299.011901,2396.451891,2273.404833,2380.956753
5/1/2016,2302.081312,2341.777758,2250.913944,2296.545499
5/2/2016,2230.197024,2316.950171,2154.731281,2298.333464
5/3/2016,2191.309888,2428.817248,2177.329494,2233.366624
5/4/2016,2187.145422,2194.438196,2108.829859,2191.37373
5/5/2016,2123.961213,2197.649534,2107.323545,2189.218747
5/6/2016,2025.105706,2129.441146,2000.436295,2124.776671
5/7/2016,1994.822834,2044.116508,1954.297881,2025.202784
5/8/2016,1786.276275,2025.680429,1759.023261,1990.970882
5/9/2016,1819.081999,1836.998025,1722.050781,1787.510714
5/10/2016,1893.053624,1916.118046,1807.909879,1817.296657
5/11/2016,1900.194364,1988.336473,1883.012591,1895.552137
5/12/2016,1876.881391,1917.597861,1855.590848,1898.825213
6/1/2016,1916.598399,1959.696325,1853.590297,1880.382985
6/2/2016,1994.712053,2037.742602,1883.272163,1911.175616
6/3/2016,1941.167794,2015.107389,1869.223126,1994.331337
6/4/2016,2034.098374,2040.693649,1922.57787,1940.083966
6/5/2016,2140.506921,2167.710086,2011.018866,2036.72101
6/6/2016,2110.875757,2172.653391,2083.803663,2139.664742
6/7/2016,2146.999673,2190.124126,2081.923557,2111.403456
6/8/2016,2115.574072,2185.376288,2051.066548,2146.692324
6/9/2016,2317.949165,2324.00693,2089.414227,2120.026343
6/10/2016,2323.208449,2403.773487,2298.02689,2315.161975
6/11/2016,2197.919385,2346.294874,2197.919385,2324.679449
6/12/2016,2321.922836,2321.922836,2163.041394,2198.582464
7/1/2016,2226.550382,2384.286857,2190.837703,2321.724112
7/2/2016,2150.835025,2237.567155,2117.590013,2226.114282
7/3/2016,2109.892677,2155.596496,2021.824808,2150.040364
7/4/2016,2274.397518,2274.397518,2081.080958,2113.605523
7/5/2016,2164.21631,2282.988969,2090.760731,2274.547713
7/6/2016,2083.448716,2242.238859,2076.240161,2160.768352
7/7/2016,1981.386443,2139.805377,1963.615526,2079.657436
7/8/2016,1830.996918,1979.958125,1811.245864,1978.894662
7/9/2016,1810.884253,1850.179779,1719.559464,1829.239217
7/10/2016,1989.215789,2017.759464,1794.400424,1813.217232
7/11/2016,1968.957423,2032.339389,1887.432046,1988.456276
7/12/2016,1878.625034,2043.530443,1827.571482,1989.736271
8/1/2016,1886.667635,1993.159822,1707.600595,1874.950021
8/2/2016,2245.317869,2259.464051,1867.185443,1888.447497
8/3/2016,2171.337972,2275.382754,2049.962553,2246.364533
8/4/2016,2235.159182,2278.41493,2168.884993,2178.499139
8/5/2016,2374.587029,2377.195175,2147.308249,2231.733142
8/6/2016,2367.306518,2457.17549,2312.301477,2372.002024
8/7/2016,2544.864816,2554.628828,2354.350543,2367.663496
8/8/2016,2587.762792,2639.229243,2515.153068,2610.936727
8/9/2016,2508.770462,2606.432929,2469.388144,2537.891158
8/10/2016,2372.690096,2547.36791,2312.640169,2508.391632
8/11/2016,2354.752218,2447.227868,2265.758003,2372.484454
8/12/2016,2472.858836,2495.414705,2326.869586,2353.768687
9/1/2016,2611.142652,2619.957793,2435.401567,2471.518675
9/2/2016,2510.199192,2625.070674,2412.197802,2608.266986
9/3/2016,2594.60235,2620.846269,2315.546579,2517.438624
9/4/2016,2713.047394,2845.185019,2583.995219,2590.263304
9/5/2016,2629.748703,2743.441092,2616.162395,2715.092661
9/6/2016,2691.619506,2817.484904,2558.233703,2630.576801
9/7/2016,2857.165616,2857.165616,2562.637385,2688.194999
9/8/2016,2708.376141,2891.254971,2667.684221,2855.126531
9/9/2016,2634.455996,2801.392396,2555.401481,2706.124971
9/10/2016,2707.560596,2739.737607,2531.160641,2633.518417
9/11/2016,2387.198474,2715.855016,2279.505225,2714.945344
9/12/2016,2278.288703,2472.187818,2188.834504,2390.305302
10/1/2016,2414.067182,2566.938597,2208.490927,2279.514177
10/2/2016,2742.468984,2761.363366,2336.361233,2419.90629
10/3/2016,2888.752388,2888.752388,2642.607841,2736.488586
10/4/2016,2707.05274,2911.735706,2652.09451,2888.698681
10/5/2016,2649.033218,2750.534979,2394.35556,2706.628981
10/6/2016,2099.935914,2672.59567,2090.639574,2643.590995
10/7/2016,2298.367067,2384.411697,1737.468748,2109.579852
10/8/2016,2436.014567,2483.983114,2168.124317,2295.705657
10/9/2016,2772.341276,2938.205084,2113.347149,2430.621385
10/10/2016,2439.638699,2993.145183,2170.229058,2784.294158
10/11/2016,3382.65715,3437.935788,1952.460232,2460.6792
10/12/2016,3276.872339,3562.46516,3246.404084,3380.070093
11/1/2016,3581.34294,3587.76561,3129.008858,3282.397796
11/2/2016,3641.830698,3878.895975,3350.951588,3587.506206
11/3/2016,4075.951556,4129.185523,3638.122042,3638.122042
11/4/2016,3720.122218,4171.016963,3703.399999,4079.057459
11/5/2016,3828.918361,4032.563539,3549.407194,3715.148466
11/6/2016,4174.635873,4362.350542,3785.848603,3785.848603
11/7/2016,3948.271909,4178.208815,3783.889474,4168.701049
11/8/2016,3924.413254,4197.473277,3684.451616,3952.293872
11/9/2016,3911.463057,3981.259091,3743.989113,3928.844706
11/10/2016,3481.988133,3950.164933,3453.768567,3902.647734
11/11/2016,3490.105213,3573.29,3370.262061,3484.728895
11/12/2016,3524.930912,3598.89589,3386.239927,3490.880459
12/1/2016,3240.554593,3541.462646,3213.101465,3522.78319
12/2/2016,3431.131678,3523.585821,3180.742663,3253.62947
12/3/2016,2951.175754,3450.037876,2951.175754,3431.08614
12/4/2016,2945.5601,2984.891882,2860.526075,2952.056055
