Date,SOURCE-SITE,microbox-gist-2,microbox-um-1,microbox-chula-1,microbox-ucsy-1,microbox-itb-1,microbox-monash-1
2020-06-08,smartx-microbox-gist1,934,252,93.3,29.5,239,215
2020-06-09,smartx-microbox-gist1,917,29.5,34.3,29.1,24.3,30.4
2020-06-10,smartx-microbox-gist1,932,41.4,31.3,21.6,29.6,51
2020-06-11,smartx-microbox-gist1,923,26.5,32.4,14.9,37.8,51.7
2020-06-12,smartx-microbox-gist1,938,24.5,10.7,21.1,42.5,26.6
2020-06-13,smartx-microbox-gist1,938,51.1,36.3,22.2,55,16.8
2020-06-14,smartx-microbox-gist1,932,0,21,17.4,28.7,0
2020-06-15,smartx-microbox-gist1,933,0,16.8,30.9,49.1,0
2020-06-16,smartx-microbox-gist1,922,64.1,39.6,348,41.8,32.8
2020-06-17,smartx-microbox-gist1,921,52.6,45.8,25.5,47.7,54.7
2020-06-18,smartx-microbox-gist1,931,36.8,24.3,24.8,45.2,27.3
2020-06-19,smartx-microbox-gist1,933,30.5,21.9,16.9,29.4,26.6
2020-06-20,smartx-microbox-gist1,932,49.2,36.1,21.7,26.8,57.1
2020-06-21,smartx-microbox-gist1,926,71.3,34,23,47.8,72.6
2020-06-22,smartx-microbox-gist1,936,29.7,43.2,18.2,50.1,71.3
2020-06-23,smartx-microbox-gist1,934,46.1,44.2,17.8,21,25.2
2020-06-24,smartx-microbox-gist1,938,77.2,73.5,30.3,56.7,58.5
2020-06-25,smartx-microbox-gist1,937,0,0,31.3,0,0
2020-06-26,smartx-microbox-gist1,919,73.5,40.8,28.8,55.5,76.8
2020-06-27,smartx-microbox-gist1,922,50.5,12.9,20.4,33,65.9
2020-06-28,smartx-microbox-gist1,929,47.8,76.1,17.7,60.9,59
2020-06-29,smartx-microbox-gist1,933,97.1,53.2,21.5,74.6,34.5
2020-06-30,smartx-microbox-gist1,933,65.9,48.9,29.2,60,50
2020-07-01,smartx-microbox-gist1,929,21.7,33.5,23.8,44.4,42.9
2020-07-02,smartx-microbox-gist1,926,15.7,25.6,19.1,22.9,24.1
2020-07-03,smartx-microbox-gist1,903,20.7,33.3,15.3,40.9,28
2020-07-04,smartx-microbox-gist1,935,51.8,25.1,15,33.4,27
2020-07-05,smartx-microbox-gist1,933,25.4,12.1,21.7,43.3,56.8
2020-07-06,smartx-microbox-gist1,937,63.1,35.2,13.2,31.2,22.7
2020-07-07,smartx-microbox-gist1,936,21.5,25.8,12,24.4,29.7
2020-07-08,smartx-microbox-gist1,931,47.9,32.7,22.9,37.1,20.7
2020-07-09,smartx-microbox-gist1,929,29.3,25.2,15.6,44,22.5
2020-07-10,smartx-microbox-gist1,932,71.1,41.5,23.6,42.9,50.8
2020-07-11,smartx-microbox-gist1,932,48.2,32.2,31.2,97.8,103
2020-07-12,smartx-microbox-gist1,897,32.1,34.3,16.7,43.7,30.5
2020-07-13,smartx-microbox-gist1,937,47,54,27.5,54.7,72.5
2020-07-14,smartx-microbox-gist1,932,46.8,30,28.9,27.7,42.5
2020-07-15,smartx-microbox-gist1,922,78.4,25.9,22.8,60.3,36.1
