Date,SOURCE-SITE,microbox-gist-2,microbox-um-1,microbox-chula-1,microbox-ucsy-1,microbox-itb-1,microbox-monash-1
12/6/2020,Visibility-Center-GIST,941,91,35.8,10.7,36.9,35.9
12/7/2020,Visibility-Center-GIST,942,25.5,28.5,21.1,70.9,65.9
12/8/2020,Visibility-Center-GIST,913,65.9,30.3,26.1,39.8,47.8
12/9/2020,Visibility-Center-GIST,941,57.9,38.1,14.1,78.5,47.1
12/10/2020,Visibility-Center-GIST,940,25.4,53.7,28.8,61.4,36.4
12/11/2020,Visibility-Center-GIST,856,34.6,21.1,17.6,45.2,23.5
12/12/2020,Visibility-Center-GIST,834,51.9,36.3,23.7,17.4,58.6
12/13/2020,Visibility-Center-GIST,942,37.9,23.1,27.2,37.1,85.2
12/14/2020,Visibility-Center-GIST,846,46.6,50.7,7.91,17.6,73.2
12/15/2020,Visibility-Center-GIST,941,42.4,22.5,37.2,32.9,27.4
12/16/2020,Visibility-Center-GIST,942,13.2,12.9,28.6,19,17
12/17/2020,Visibility-Center-GIST,942,21.3,9.77,22.7,24.9,15.5
12/18/2020,Visibility-Center-GIST,816,21.6,16.9,9.38,19.4,11.8
12/19/2020,Visibility-Center-GIST,942,28.1,19.9,22.2,30.4,30.1
12/20/2020,Visibility-Center-GIST,942,18.9,21.3,15.6,20.5,30.8
12/21/2020,Visibility-Center-GIST,943,30,16.4,24.4,54.4,18.9
12/23/2020,Visibility-Center-GIST,897,28.2,28.8,15.2,36.5,39.7
12/24/2020,Visibility-Center-GIST,942,28.5,10.8,17.6,15.5,24.8
12/25/2020,Visibility-Center-GIST,941,35.8,13.3,26.5,0,29.8
12/26/2020,Visibility-Center-GIST,943,19.3,22.4,15.6,25.8,17.5
12/27/2020,Visibility-Center-GIST,941,14.2,19.7,16.9,23.4,24.3
12/28/2020,Visibility-Center-GIST,932,16.7,26.7,20.2,12.2,36.5
12/29/2020,Visibility-Center-GIST,941,17.4,51.7,15.3,23.5,24.2
12/30/2020,Visibility-Center-GIST,938,16.2,29.7,17.8,38.6,31.8
12/31/2020,Visibility-Center-GIST,927,24.2,18.2,17.8,18.9,27
1/1/2021,Visibility-Center-GIST,922,40.7,33.4,11.6,22.5,14.3
1/2/2021,Visibility-Center-GIST,941,34.6,22.5,9.64,39.1,27.5
1/3/2021,Visibility-Center-GIST,942,40.2,25.5,8.34,42.2,23.2
1/4/2021,Visibility-Center-GIST,942,29.3,15.2,23.9,16.9,28.9
1/5/2021,Visibility-Center-GIST,941,19.4,35.5,23,29.1,19
1/6/2021,Visibility-Center-GIST,942,28.5,34.7,11.3,19,23.2
1/7/2021,Visibility-Center-GIST,940,33.4,12.3,21.4,19.9,24.8
1/14/2021,Visibility-Center-GIST,941,15,15.6,13.7,8.86,29.4
1/15/2021,Visibility-Center-GIST,941,20.5,24.4,10.8,18.9,28.2
1/16/2021,Visibility-Center-GIST,942,14.2,26.7,14.7,22.4,23.8
1/17/2021,Visibility-Center-GIST,942,11.2,19.2,10.9,12.4,33
1/19/2021,Visibility-Center-GIST,942,23.2,16.3,19.4,12.7,8.95
1/20/2021,Visibility-Center-GIST,943,28.4,13.5,6.95,18.2,18.9
1/21/2021,Visibility-Center-GIST,942,26.8,29.8,24.2,42.5,16.2
1/22/2021,Visibility-Center-GIST,943,24.6,25.4,18.8,11.2,25.3
1/23/2021,Visibility-Center-GIST,943,21.9,21.7,16.1,16.8,20.5
1/24/2021,Visibility-Center-GIST,939,29.9,14.9,21,23.9,28.2
1/25/2021,Visibility-Center-GIST,943,52,69.8,18.9,65.7,46.7
1/26/2021,Visibility-Center-GIST,943,80,60.1,17.3,64.8,42.9
1/27/2021,Visibility-Center-GIST,943,44.7,38.8,23,62.4,36.2
