Date,SOURCE-SITE,microbox-gist-2,microbox-um-1,microbox-chula-1,microbox-ucsy-1,microbox-itb-1,microbox-monash-1
6/27/2020,Visibility-Center-GIST,922,50.5,12.9,20.4,33,65.9
6/28/2020,Visibility-Center-GIST,929,47.8,76.1,17.7,60.9,59
6/29/2020,Visibility-Center-GIST,933,97.1,53.2,21.5,74.6,34.5
6/30/2020,Visibility-Center-GIST,933,65.9,48.9,29.2,60,50
7/1/2020,Visibility-Center-GIST,929,21.7,33.5,23.8,44.4,42.9
7/2/2020,Visibility-Center-GIST,926,15.7,25.6,19.1,22.9,24.1
7/3/2020,Visibility-Center-GIST,903,20.7,33.3,15.3,40.9,28
7/4/2020,Visibility-Center-GIST,935,51.8,25.1,15,33.4,27
7/5/2020,Visibility-Center-GIST,933,25.4,12.1,21.7,43.3,56.8
7/6/2020,Visibility-Center-GIST,937,63.1,35.2,13.2,31.2,22.7
7/7/2020,Visibility-Center-GIST,936,21.5,25.8,12,24.4,29.7
7/8/2020,Visibility-Center-GIST,931,47.9,32.7,22.9,37.1,20.7
7/9/2020,Visibility-Center-GIST,929,29.3,25.2,15.6,44,22.5
7/10/2020,Visibility-Center-GIST,932,71.1,41.5,23.6,42.9,50.8
7/11/2020,Visibility-Center-GIST,932,48.2,32.2,31.2,97.8,103
7/12/2020,Visibility-Center-GIST,897,32.1,34.3,16.7,43.7,30.5
7/13/2020,Visibility-Center-GIST,937,47,54,27.5,54.7,72.5
7/14/2020,Visibility-Center-GIST,932,46.8,30,28.9,27.7,42.5
7/15/2020,Visibility-Center-GIST,922,78.4,25.9,22.8,60.3,36.1
7/16/2020,Visibility-Center-GIST,924,63.9,53.2,29.5,56.2,78.5
7/17/2020,Visibility-Center-GIST,896,72.3,31.4,17.4,39,70.4
7/18/2020,Visibility-Center-GIST,928,43.7,49.2,18.3,61.9,77.2
7/19/2020,Visibility-Center-GIST,923,50.9,68.8,23,24.2,59
7/20/2020,Visibility-Center-GIST,938,72.2,36,15.6,56.1,56.8
7/21/2020,Visibility-Center-GIST,932,39.6,22.1,22.2,75.7,74.4
7/22/2020,Visibility-Center-GIST,927,50.4,19.7,7.56,46.7,108
7/23/2020,Visibility-Center-GIST,925,72.5,26,13.9,88.8,53.9
7/24/2020,Visibility-Center-GIST,933,48.9,28.2,12.1,35,39.7
7/25/2020,Visibility-Center-GIST,934,64.5,29.4,18.2,44.7,66.9
7/26/2020,Visibility-Center-GIST,938,38.1,47.3,22.9,57.3,108
7/27/2020,Visibility-Center-GIST,930,106,28.5,16.9,81,71.4
7/28/2020,Visibility-Center-GIST,938,65.9,40,16.1,47.5,27.5
7/29/2020,Visibility-Center-GIST,930,75,47,17.1,62.8,85.1
7/30/2020,Visibility-Center-GIST,932,60.1,37.5,16.3,123,92.7
7/31/2020,Visibility-Center-GIST,929,61.5,24.2,29.8,102,58.3
8/1/2020,Visibility-Center-GIST,933,76.5,31.7,30.8,48.6,65.2
8/2/2020,Visibility-Center-GIST,930,91,49.5,24.5,75.2,117
8/3/2020,Visibility-Center-GIST,929,40.2,48.8,24.8,40.9,95.2
8/4/2020,Visibility-Center-GIST,929,24.9,37.7,27.4,48.5,58.6
8/5/2020,Visibility-Center-GIST,926,45.2,28.3,18.6,30.6,78.1
8/6/2020,Visibility-Center-GIST,932,46.7,23.7,12.3,13.8,50.8
8/7/2020,Visibility-Center-GIST,936,112,41.7,23,66.8,53.1
8/8/2020,Visibility-Center-GIST,922,37,40.6,8.17,65.2,46.6
8/9/2020,Visibility-Center-GIST,921,7.39,4.71,9.12,5.82,4.34
8/10/2020,Visibility-Center-GIST,931,6.26,4.12,7.21,5.65,4.78
8/11/2020,Visibility-Center-GIST,934,3.56,5.4,2.52,3.56,3.56
8/12/2020,Visibility-Center-GIST,931,4.86,5.23,2.43,3.04,4.95
8/13/2020,Visibility-Center-GIST,934,4.78,4.11,4.69,3.56,2.78
8/14/2020,Visibility-Center-GIST,926,3.39,2.66,1.91,4.17,3.21
8/15/2020,Visibility-Center-GIST,936,5.3,3.77,5.13,4.34,3.91
8/16/2020,Visibility-Center-GIST,922,4.08,2.66,2.43,2.35,3.47
8/17/2020,Visibility-Center-GIST,935,4.87,2.31,2.61,4.08,4.69
8/18/2020,Visibility-Center-GIST,930,3.13,2.49,2,2.35,3.91
8/19/2020,Visibility-Center-GIST,939,2.35,3.69,1.82,2.69,2.87
8/20/2020,Visibility-Center-GIST,918,2.52,1.97,2.43,2.87,3.56
8/21/2020,Visibility-Center-GIST,922,2.35,2.49,2.09,2.52,2.26
8/22/2020,Visibility-Center-GIST,937,5.3,2.65,1.65,2.35,4.34
8/23/2020,Visibility-Center-GIST,933,3.73,3.17,3.48,2.43,3.74
8/24/2020,Visibility-Center-GIST,937,3.39,2.31,1.48,3.3,2.87
8/25/2020,Visibility-Center-GIST,937,2.95,1.6,2.61,3.21,3.21
8/26/2020,Visibility-Center-GIST,933,4.26,2.66,3.21,2.35,4.69
8/27/2020,Visibility-Center-GIST,926,3.13,1.37,2.26,2.87,2.78
8/28/2020,Visibility-Center-GIST,913,3.74,3,1.74,2.78,2.26
8/29/2020,Visibility-Center-GIST,932,2.09,1.8,2.35,2,2.95
8/30/2020,Visibility-Center-GIST,938,4.17,2.57,1.74,2.35,2.95
8/31/2020,Visibility-Center-GIST,932,6.08,2.83,2.17,4,2.52
9/1/2020,Visibility-Center-GIST,932,6.34,5.74,5.13,4.52,4.08
9/2/2020,Visibility-Center-GIST,921,3.82,2.64,4.69,5.99,4.17
9/3/2020,Visibility-Center-GIST,939,3.39,2.66,4.26,4,3.21
9/4/2020,Visibility-Center-GIST,909,3.13,3.17,4.43,3.04,4.17
9/5/2020,Visibility-Center-GIST,926,2.52,1.97,2.08,2,2.87
9/6/2020,Visibility-Center-GIST,921,2.61,2.97,1.48,3.04,2.95
9/7/2020,Visibility-Center-GIST,936,2.17,2.04,3.04,2.09,2.35
9/8/2020,Visibility-Center-GIST,931,4.69,3.6,2.87,3.21,2.95
9/9/2020,Visibility-Center-GIST,927,5.04,3.26,3.48,5.3,4.08
9/10/2020,Visibility-Center-GIST,934,5.65,3.26,4.34,3.39,4
9/11/2020,Visibility-Center-GIST,926,4.08,3.09,3.13,3.21,4.34
9/12/2020,Visibility-Center-GIST,933,5.04,4.97,2.52,3.04,5.47
9/13/2020,Visibility-Center-GIST,934,5.13,3.43,5.3,6.78,3.82
9/14/2020,Visibility-Center-GIST,930,9.12,3.34,2.17,3.48,4.87
9/15/2020,Visibility-Center-GIST,930,6.43,4.37,5.04,7.64,4.95
9/16/2020,Visibility-Center-GIST,919,6.95,2.4,4.26,3.74,3.82
9/17/2020,Visibility-Center-GIST,926,6.17,2.74,3.48,5.39,4.43
9/18/2020,Visibility-Center-GIST,937,7.39,3,3.74,4.6,4.78
9/19/2020,Visibility-Center-GIST,911,4,4.97,2.95,4.69,3.74
9/20/2020,Visibility-Center-GIST,925,5.99,5.14,2.87,5.65,5.04
9/21/2020,Visibility-Center-GIST,936,5.3,2.31,4.17,3.65,4.69
9/22/2020,Visibility-Center-GIST,936,3.13,4.54,3.3,4.78,5.47
9/23/2020,Visibility-Center-GIST,936,2.52,2.57,5.91,4.26,4.43
9/24/2020,Visibility-Center-GIST,937,5.21,1.97,4.26,5.21,2.35
9/25/2020,Visibility-Center-GIST,933,2.35,5.14,2.34,4,3.48
9/26/2020,Visibility-Center-GIST,932,4.78,2.91,2.17,3.3,3.39
9/27/2020,Visibility-Center-GIST,933,3.04,2.23,2.61,1.91,3.22
9/28/2020,Visibility-Center-GIST,925,3.39,4.46,2.61,2.69,3.3
9/29/2020,Visibility-Center-GIST,936,2.95,3.34,1.74,3.13,2.87
9/30/2020,Visibility-Center-GIST,933,3.56,3.51,2.61,2.52,3.48
10/1/2020,Visibility-Center-GIST,940,4.69,2.31,2.52,4.52,3.65
10/2/2020,Visibility-Center-GIST,936,3.47,2.23,2.08,3.04,3.04
10/3/2020,Visibility-Center-GIST,934,3.3,4.71,1.65,1.82,3.74
10/4/2020,Visibility-Center-GIST,935,2.26,2.4,2.87,3.74,2.95
10/5/2020,Visibility-Center-GIST,931,4.17,2.49,1.48,2.09,3.13
10/6/2020,Visibility-Center-GIST,921,3.04,3.09,2.26,3.13,3.39
10/7/2020,Visibility-Center-GIST,938,0,2.81,1.22,1.74,2.87
10/8/2020,Visibility-Center-GIST,939,2.17,3.17,2.52,2.43,1.56
10/9/2020,Visibility-Center-GIST,927,2.43,2.14,1.82,3.21,2.43
10/10/2020,Visibility-Center-GIST,930,1.3,2.49,1.56,2.26,1.3
10/11/2020,Visibility-Center-GIST,938,1.22,3.34,2.09,4.17,1.39
10/12/2020,Visibility-Center-GIST,932,1.39,1.97,2,2,521
10/13/2020,Visibility-Center-GIST,941,1.56,3.34,1.74,4.6,1.39
10/14/2020,Visibility-Center-GIST,942,1.82,2.35,1.82,1.74,1.74
10/15/2020,Visibility-Center-GIST,941,2.61,2.14,2.87,3.56,2.87
10/16/2020,Visibility-Center-GIST,941,3.04,3.6,3.13,2.78,2.69
10/17/2020,Visibility-Center-GIST,940,2,3.6,4.6,2.69,2.17
10/18/2020,Visibility-Center-GIST,941,5.82,3.17,3.48,3.04,956
10/19/2020,Visibility-Center-GIST,941,3.3,3.94,3.04,3.13,1.3
10/20/2020,Visibility-Center-GIST,917,2.69,3.26,2.69,2,3.56
10/21/2020,Visibility-Center-GIST,942,4.69,2.49,2.52,2.35,3.39
10/22/2020,Visibility-Center-GIST,941,2.61,3.17,1.91,4.08,4.6
10/23/2020,Visibility-Center-GIST,942,2.61,2.74,3.47,4,2
10/24/2020,Visibility-Center-GIST,941,2.17,2.07,2.35,2.61,2.95
10/25/2020,Visibility-Center-GIST,942,2.78,2.49,2,2.844285714,2.95
10/26/2020,Visibility-Center-GIST,893,3.3,2.23,2.26,2.397142857,2.35
10/27/2020,Visibility-Center-GIST,939,2.61,3,1.82,2.111428571,5.21
10/28/2020,Visibility-Center-GIST,943,3.04,4.63,2.52,2.57755102,2.08
10/29/2020,Visibility-Center-GIST,940,2.69,4.11,3.21,2.362915452,3.3
10/30/2020,Visibility-Center-GIST,940,3.04,3.34,2.43,2.129046231,2.52
10/31/2020,Visibility-Center-GIST,943,3.04,3.17,2,71.2,2.26
11/1/2020,Visibility-Center-GIST,942,3.82,2.83,2.26,37.4,3.91
11/2/2020,Visibility-Center-GIST,942,2.52,2.66,2.26,31.5,3.04
11/3/2020,Visibility-Center-GIST,943,3.13,2.66,3.65,39.1,2.61
11/4/2020,Visibility-Center-GIST,941,2.17,3,2.17,44.4,2
11/5/2020,Visibility-Center-GIST,942,6.69,3.09,1.74,23.8,3.3
11/6/2020,Visibility-Center-GIST,817,2.26,2.29,3.21,37.3,3.13
11/7/2020,Visibility-Center-GIST,942,3.47,2.31,1.56,44.2,2.09
11/20/2020,Visibility-Center-GIST,943,58.5,64.6,12.8,71.2,54.8
11/21/2020,Visibility-Center-GIST,942,50.9,41.6,26.5,73.4,33.6
11/22/2020,Visibility-Center-GIST,942,33.9,48.6,22.6,37.4,41.9
11/23/2020,Visibility-Center-GIST,942,43.4,65.8,12.9,31.6,15.1
11/24/2020,Visibility-Center-GIST,935,26.2,25.4,16.9,31.5,31
11/25/2020,Visibility-Center-GIST,941,49,67.3,10.3,22.5,41.6
11/26/2020,Visibility-Center-GIST,941,25.3,20,15.5,39.1,21.2
11/27/2020,Visibility-Center-GIST,864,36.5,32.7,26.7,60.6,31.9
11/28/2020,Visibility-Center-GIST,942,20.9,24.5,9.73,44.4,20.9
11/29/2020,Visibility-Center-GIST,941,28.2,21.3,12.9,22.4,24.3
11/30/2020,Visibility-Center-GIST,942,36.1,15.6,15.4,23.8,25
12/1/2020,Visibility-Center-GIST,940,52.4,23.7,11.3,69.2,40.1
12/2/2020,Visibility-Center-GIST,941,41.4,2.02,22.3,37.3,28.4
12/3/2020,Visibility-Center-GIST,942,34.3,39.3,22.4,33.1,37.1
12/4/2020,Visibility-Center-GIST,942,47.5,36.3,21.7,44.2,31.9
12/5/2020,Visibility-Center-GIST,925,33.2,21.6,15.8,24.7,85.6
